!	EXCLAMATION POINT
LBS	POUNDS
LCD	L CEE DEE
LCD	LIQUID CRYSTAL DISPLAY
LSD	L ESS DEE
LSD	LYSERGIC ACID DIETHYLAMIDE
LTD	LIMITED
LTD.	LIMITED
M	EM
M.	EM
MAR	MARCH
MAR.	MARCH
MASS.	MASSACHUSETTS
MD	MARYLAND
MC	EM CEE
MC	MASTER OF CEREMONY
ME	MAINE
MESSRS.	MESSRS
MI	MICHIGAN
MN	MINNESOTA
MO	MISSOURI
MON	MONDAY(1)
MON.	MONDAY(1)
MPG	MILES PER(1) GALLON
MPH	MILES PER(1) HOUR
MR	MISTER
MR.	MISTER
MRI	EM R I
MRI	MAGNETIC RESONANCE IMAGING
MRS	MISSIS
MRS.	MISSIS
MS.	MS
MSC	EM ESS CEE
MSC	MASTER OF SCIENCE
MSG	MESSAGE
MSGR	MONSIGNOR
MSSRS.	MESSRS
MT	MONTANA
MT	MOUNT
MTV	EM TEE VEE
MTV	MUSIC TV
MYSQL	MY ESS CUE EL
N	EN
N.	EN
N.C.	NORTH CAROLINA
N.D.	NORTH DAKOTA
N.J.	NEW JERSEY
N.M.	NEW MEXICO
NBA	N BEE A(2)
NBC	N BEE CEE
NC	NORTH CAROLINA
ND	NORTH DAKOTA
NE	NEBRASKA
NH	NEW HAMPSHIRE(1)
NJ	NEW JERSEY
NM	NEW MEXICO
NO.	NUMBER
NOAA	NOAH
NOV	NOVEMBER
NOV.	NOVEMBER
NV	NEVADA
NY	NEW YORK
O.	O
OCT	OCTOBER
OCT.	OCTOBER
OH	OHIO
OK	OKAY
OK	OKLAHOMA
OR	OREGON
OS	OPERATING SYSTEM
OS	O S
P	PEE
P.	PEE
PA	PENNSYLVANIA
PB	PEE BEE
PBS	PEE BEE ESS
PD	PEE DEE
PE	PEE E
PENN	PENNSYLVANIA
PENN.	PENNSYLVANIA
PENNA	PENNSYLVANIA
PH	PEE AITCH
PHD	PEE AITCH DEE
PHD	DOCTOR OF PHILOSOPHY
PM	PEE EM
PM	PRIME MINISTER
PO	PEE O
PR	PEE R
PR	PUBLIC RELATIONS
PS	PEE ESS
PP.	PAGES
PROF.	PROF
PROF.	PROFESSOR
PVC	PEE VEE CEE
Q	CUE
Q.	CUE
R	AR
R.	AR
R.I.	RHODE ISLAND
REP	REPRESENTATIVE
REP.	REPRESENTATIVE
RI	RHODE ISLAND
RPM	R PEE EM
S	ESS
S.	ESS
S.C.	SOUTH CAROLINA
S.D.	SOUTH DAKOTA
SAS	ESS A(2) ESS
SC	SOUTH CAROLINA
SCC	ESS CEE CEE
SD	SOUTH DAKOTA
SEP	SEPTEMBER
SEP.	SEPTEMBER
SEPT	SEPTEMBER
SEPT.	SEPTEMBER
SR	SENIOR
SR	SISTER
ST	SAINT
ST	STREET
ST-LOUIS	SAINT LOUIS
ST-PETERSBURG	SAINT PETERSBURG
ST.	SAINT
ST.	STREET
STV	ESS TEE VEE
T	TEE
T-BONE	TEE BONE
T-MOBILE	TEE MOBILE
T.	TEE
THU	THURSDAY(1)
THU.	THURSDAY(1)
TN	TENNESSEE
TN.	TENNESSEE
TUE	TUESDAY(1)
TUE.	TUESDAY(1)
TV	TEE VEE
TV	TELEVISION
TX	TEXAS
U.	U
UAV	U A(2) VEE
UAV	UNMANNED AERIAL VEHICLE
UK	U KAY
US	U ESS
USSR	U ESS ESS R
UT	UTAH(1)
V	VEE
V.	VEE
VA	VIRGINIA
VIII	EIGHT
VOL.	VOLUME
VT	VERMONT
W	DOUBLE U
W.	DOUBLE U
WA	WASHINGTON
WC	DOUBLE U CEE
WC	WATER CLOSET
WED	WEDNESDAY(1)
WED.	WEDNESDAY(1)
WI	WISCONSIN
WI.	WISCONSIN
WM	WILLIAM
WV	WEST VIRGINIA
WY	WYOMING
X	ECKS
X.	ECKS
XBOX	ECKS BOX
XI	ELEVEN
Y	WY
Y.	WY
Z	ZED
Z.	ZED
{	BRACE
{	LEFT BRACE
{	OPEN BRACE
}	CLOSE(2) BRACE
}	RIGHT BRACE
×	TIMES
